Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.countdown.1000.reference (pure),3146210,228010,16001,4,6291456
All.countdown.1000.reference (ST),3772011,189242,16017,4,6291456
All.countdown.1000.mtl.shallow,75430685,6683554,432298,134,6291456
All.countdown.1000.mtl.deep,480463450,35112492,3145967,1242,6291456
All.countdown.1000.mtl.shallow STM,85538561,7102676,336483,111,6291456
All.countdown.1000.mtl.deep STM,521444701,23599936,3060008,1044,6291456
All.countdown.1000.deriving-trans.shallow,79758584,7154828,432336,133,6291456
All.countdown.1000.deriving-trans.deep,541919990,49441684,3202154,1277,6291456
All.countdown.1000.deriving-trans.shallow STM,90040163,6940984,336485,108,6291456
All.countdown.1000.deriving-trans.deep STM,432090506,27256738,3420319,1033,7340032
All.countdown.1000.deriving-trans.shallow stack STM,70258001,6700778,200438,74,7340032
All.countdown.1000.deriving-trans.deep stack STM,436625493,25814936,3420810,1020,7340032
All.countdown.2000.reference (pure),6234804,451684,32002,8,7340032
All.countdown.2000.reference (ST),7196897,225068,32017,8,7340032
All.countdown.2000.mtl.shallow,158175710,12114170,864378,255,7340032
All.countdown.2000.mtl.deep,1011568912,91932916,6290522,2374,7340032
All.countdown.2000.mtl.shallow STM,170075282,14588766,672575,205,7340032
All.countdown.2000.mtl.deep STM,1030382512,86571440,6116963,1976,7340032
All.countdown.2000.deriving-trans.shallow,162550632,10891618,864378,246,7340032
All.countdown.2000.deriving-trans.deep,1102225200,88536942,6402513,2376,7340032
All.countdown.2000.deriving-trans.shallow STM,182607503,12917562,672568,200,7340032
All.countdown.2000.deriving-trans.deep STM,857245471,59304324,6836964,1926,7340032
All.countdown.2000.deriving-trans.shallow stack STM,143277313,10834158,400503,138,7340032
All.countdown.2000.deriving-trans.deep stack STM,886034093,50324666,6837474,1900,7340032
All.countdown.3000.reference (pure),9346144,778550,48005,11,7340032
All.countdown.3000.reference (ST),11279177,1007718,48021,12,7340032
All.countdown.3000.mtl.shallow,239392829,21640084,1296482,362,7340032
All.countdown.3000.mtl.deep,1517087962,101366048,9434518,3260,7340032
All.countdown.3000.mtl.shallow STM,267485812,25666600,1008713,289,7340032
All.countdown.3000.mtl.deep STM,1513169056,118623880,9173407,2731,7340032
All.countdown.3000.deriving-trans.shallow,224492011,14607458,1296329,329,7340032
All.countdown.3000.deriving-trans.deep,1646658562,95747032,9602535,3335,7340032
All.countdown.3000.deriving-trans.shallow STM,258083963,10833176,1008614,270,7340032
All.countdown.3000.deriving-trans.deep STM,1335716081,85573650,10253835,2626,7340032
All.countdown.3000.deriving-trans.shallow stack STM,213357025,11199044,600540,166,7340032
All.countdown.3000.deriving-trans.deep stack STM,1332305512,91669170,10254298,2586,7340032
All.countdown.10000.reference (pure),31346252,2696736,160022,35,7340032
All.countdown.10000.reference (ST),35505268,2822318,160038,36,7340032
All.countdown.10000.mtl.shallow,741613390,61982826,4320653,1044,7340032
All.countdown.10000.mtl.deep,5019071650,411850514,31444851,10211,7340032
All.countdown.10000.mtl.shallow STM,892427056,59499098,3361220,856,7340032
All.countdown.10000.mtl.deep STM,5232833000,336538292,30570446,8123,7340032
All.countdown.10000.deriving-trans.shallow,803854390,45264374,4320650,1012,7340032
All.countdown.10000.deriving-trans.deep,5414483900,449896094,32004649,10282,7340032
All.countdown.10000.deriving-trans.shallow STM,905297690,46733918,3361224,830,7340032
All.countdown.10000.deriving-trans.deep STM,4341216750,366046004,34171436,7716,8388608
All.countdown.10000.deriving-trans.shallow stack STM,686239087,28599986,2000816,459,10485760
All.countdown.10000.deriving-trans.deep stack STM,4266778825,339174168,34171710,7597,10485760
